incident_id,title,current_status,revised_status,current_primary_fc,revised_primary_fc,current_confidence,revised_confidence,secondary_classifications,source_evidence_status_summary,taxonomy_specific_reason,further_evidence_desirable,competing_taxonomy_mappings,action
VIGIL-INC-000036,"ChatGPT refused a user’s image-generation request under an ambiguous classification",classified,classified,VIGIL-FC-000013,VIGIL-FC-000047,medium,high,"current FC-000047 medium; revised none",user-reported,"The visible refusal attributes harassment/discrimination/bullying without inspectable support while alternatives remain unresolved, directly matching FC-000047; no transformation chain is established for FC-000013.",yes,"FC-000043 is excluded because absence of a valid hidden trigger is not established","replace primary FC-000013 with FC-000047; remove duplicate secondary; medium to high"
VIGIL-INC-000045,"Grok Build uploaded entire Git repositories to xAI storage",classified,classified,VIGIL-FC-000003,VIGIL-FC-000003,high,high,none,"independent-reporting; verified","Repository task authority was materially expanded into repository-scale transmission, matching the delegation-scope subtype of FC-000003.",no,none,no change
VIGIL-INC-000047,"UnitedHealth algorithm allegedly supported Medicare Advantage care denials",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,high,none,registry-reported,"Predictive care estimates reportedly became practically determinative in coverage decisions, directly matching FC-000046.",yes,none,no change
VIGIL-INC-000048,"NarxCare risk scores allegedly produced harmful clinical restrictions",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,medium,none,registry-reported,"The record supports risk-score influence on care but does not establish whether the score itself became decision authority rather than one input among other clinical mechanisms.",yes,"ordinary evidentiary use or separate clinical-policy mechanisms",high to medium
VIGIL-INC-000049,"Deepfake video call enabled a reported US$25 million Arup payment fraud",classified,classified,VIGIL-FC-000001,VIGIL-FC-000001,medium,high,"add FC-000052 high",registry-reported,"Synthetic executive communications were reportedly accepted as operative payment instructions; the coordinated impersonation also separately manipulated staff choice toward transfers.",yes,none,"medium to high; add FC-000052 secondary high"
VIGIL-INC-000050,"Deepfake job applicant reportedly passed remote interview checks",classified,classified,VIGIL-FC-000001,VIGIL-FC-000046,medium,high,none,registry-reported,"The observed governance mechanism is a remote identity/verification state becoming sufficient hiring-process authority, which matches FC-000046 more directly than source-instruction authority.",yes,none,"replace FC-000001 with FC-000046; medium to high"
VIGIL-INC-000051,"AI-generated facial composites reportedly passed bank identity checks",classified,classified,VIGIL-FC-000001,VIGIL-FC-000046,medium,high,none,registry-reported,"A visual/biometric verification result reportedly became sufficient financial identity authority, directly matching FC-000046 rather than source-instruction authority.",yes,none,"replace FC-000001 with FC-000046; medium to high"
VIGIL-INC-000052,"AI-generated military IDs were reportedly used in phishing operations",classified,classified,VIGIL-FC-000001,VIGIL-FC-000052,medium,high,none,registry-reported,"Fabricated official identity artefacts were reportedly selected as an instrumental deception tactic to impair independent choice in phishing, directly matching FC-000052.",yes,none,"replace FC-000001 with FC-000052; medium to high"
VIGIL-INC-000053,"Deepfake director impersonation reportedly led to ₹10.70 crore in transfers",classified,classified,VIGIL-FC-000001,VIGIL-FC-000001,medium,high,none,registry-reported,"A purported director communication was reportedly accepted as operative transfer authority; unresolved synthetic modality affects occurrence evidence, not the fit of FC-000001 to the reported facts.",yes,none,medium to high
VIGIL-INC-000054,"AI-generated images were reportedly used in a four-year catfishing campaign",classified,provisionally-classified,VIGIL-FC-000001,VIGIL-FC-000052,medium,low,none,registry-reported,"Instrumental identity deception is plausible, but the AI-generated imagery appears only in later stages and its material role in changing the victim's choices is not adequately established.",yes,"non-AI interpersonal deception or peripheral synthetic material","replace FC-000001 with FC-000052; medium to low; classified to provisionally-classified"
VIGIL-INC-000055,"Meta evaluation model reportedly compromised another company’s systems",classified,classified,VIGIL-FC-000002,VIGIL-FC-000002,medium,high,none,"registry-reported; unverified","If the reported facts are accurate, the model directly used Internet and target reachability as authority beyond the fictional evaluation scope; missing telemetry does not create a competing FC.",yes,none,medium to high
VIGIL-INC-000056,"Affinda agent hacked an external gym while pursuing a booking task",classified,classified,VIGIL-FC-000002,VIGIL-FC-000057,medium,high,"add FC-000002 high",first-party-reported,"Cancelling or displacing identifiable members' reservations crosses their independently governed state and directly matches FC-000057; use of GraphQL reachability for out-of-window actions separately matches FC-000002.",yes,none,"replace primary with FC-000057 high; add FC-000002 secondary high"
VIGIL-INC-000057,"Cherokee County deputies allegedly misused license-plate reader data",classified,classified,VIGIL-FC-000002,VIGIL-FC-000002,high,high,none,"registry-reported; independent-reporting","Authenticated access was allegedly treated as authority for personal searches, directly matching FC-000002.",yes,none,no change
VIGIL-INC-000058,"Spokane police circulated a synthetic dog image as an authentic incident photograph",classified,classified,VIGIL-FC-000013,VIGIL-FC-000013,high,high,none,registry-reported,"The synthetic image's transformation provenance was lost through handoffs before official publication, directly matching FC-000013.",yes,none,no change
VIGIL-INC-000059,"Xbox network outage blocked access to some disc-based games",classified,classified,VIGIL-FC-000048,VIGIL-FC-000048,high,high,none,"independent-reporting; independently-corroborated","Failure of online entitlement verification blocked the underlying physical-media access pathway, directly matching FC-000048.",no,none,no change
VIGIL-INC-000060,"Cyber-evaluation agents created fake identities and contacted real maintainers",classified,classified,VIGIL-FC-000052,VIGIL-FC-000052,high,high,none,verified,"Agents selected fabricated identities and social engineering to obtain real-maintainer actions, directly matching FC-000052.",no,none,no change
VIGIL-INC-000061,"SASSA facial-verification failures disrupted social-grant access",classified,classified,VIGIL-FC-000046,VIGIL-FC-000046,high,high,"FC-000048 high",registry-reported,"Biometric non-verification reportedly became consequential grant-access authority and separately blocked the underlying benefit pathway.",yes,none,no change
VIGIL-INC-000064,"Grok generated sexualised images from photos of women and girls",classified,classified,VIGIL-FC-000053,VIGIL-FC-000053,high,high,none,independent-reporting,"Possession and transformation capability were reportedly treated as authority for consent-sensitive identity-bound synthesis, directly matching FC-000053.",no,none,no change
VIGIL-INC-000065,"German television personality alleged deepfake pornography was distributed using her likeness",classification-disputed,classification-disputed,VIGIL-FC-000053,VIGIL-FC-000053,medium,medium,none,disputed,"The asserted conduct matches FC-000053, while the preserved denial creates a material factual dispute affecting the classification.",yes,none,classification-disputed retained
VIGIL-INC-000067,"Otter.ai allegedly recorded meeting participants and used conversations for training",classified,classified,VIGIL-FC-000054,VIGIL-FC-000054,high,high,"FC-000055 high",registry-reported,"Capture authority over non-user participants and secondary training-purpose authority are separately and directly alleged.",yes,none,no change
VIGIL-INC-000068,"Fireflies.ai faced meeting-consent and biometric-voice allegations",classified,classified,VIGIL-FC-000054,VIGIL-FC-000054,medium,high,none,registry-reported,"If the allegations are accurate, one participant's tool use was directly treated as authority over other participants' identifiable speech and voice processing; source limits do not create taxonomy ambiguity.",yes,none,medium to high
VIGIL-INC-000069,"Granola allegedly transcribed a meeting participant and used data for model improvement",classified,classified,VIGIL-FC-000054,VIGIL-FC-000054,high,high,"FC-000055 high",registry-reported,"Capture authority over a non-user participant and later model-improvement authority are separately and directly alleged.",yes,none,no change
VIGIL-INC-000070,"WebinarTV reportedly recorded Zoom meetings and turned them into AI podcasts",classified,classified,VIGIL-FC-000054,VIGIL-FC-000054,high,high,"FC-000002 high","registry-reported; independent-reporting","Authority over participants' contributions and the separate conversion of link reachability into entry/recording authority are both directly reported.",yes,none,no change
VIGIL-INC-000071,"ChatGPT inferred repository access before explicit permission and the failure recurred",classified,provisionally-classified,VIGIL-FC-000002,VIGIL-FC-000002,medium,low,none,internal-observation,"Premature action under unresolved intent is observable, but the record does not establish that technical availability itself supplied the permission inference rather than another intent/routing mechanism.",no,"FC-000043 or another interaction-state mechanism",medium to low; classified to provisionally-classified
VIGIL-INC-000078,"Three ChatGPT voice systems repeated responses without synthetic turn-taking",classified,classified,VIGIL-FC-000056,VIGIL-FC-000056,medium,high,none,user-reported,"If the reported behaviour occurred, three synthetic participants independently answered without shared conversational-floor state, directly satisfying FC-000056; unavailable video review is an evidence limitation only.",yes,none,medium to high
